location,lat,lon
"Cambria, CA",35.56,-121.08
"Cambria, IL",37.76,-89.11
"Cambria, WI",43.54,-89.01
"Cambridge Bay, Nunavut",69.12,-105.06
"Cambridge City, IN",39.79,-85.35
"Cambridge Springs, PA",41.81,-80.09
"Cambridge, IA",41.84,-93.53
"Cambridge, ID",44.58,-116.62
"Cambridge, IL",41.35,-90.2
"Cambridge, MA",42.38,-71.15
"Cambridge, MD",38.58,-76.09
"Cambridge, ME",45.04,-69.49
"Cambridge, MN",45.58,-93.23
"Cambridge, NE",40.21,-100.59
"Cambridge, NY",42.97,-73.42
"Cambridge, OH",40.02,-81.56
"Cambridge, VT",44.65,-72.89
"Cambridge, WI",43.0,-89.01
"Cambridgeport, VT",43.13,-72.6
"Cambural, Venezuela",10.45,-67.04
"Camby, IN",39.66,-86.37
"Camden Point, MO",39.42,-94.9
"Camden on Gauley, WV",38.3,-80.75
"Camden, AL",32.01,-87.26
"Camden, AR",33.62,-92.76
"Camden, DE",39.13,-75.51
"Camden, IN",40.55,-86.48
"Camden, ME",44.21,-69.07
"Camden, MI",41.75,-84.84
"Camden, MO",39.26,-93.96
"Camden, MS",32.53,-90.12
"Camden, NC",36.3,-76.27
"Camden, NJ",39.93,-75.12
"Camden, NY",43.29,-75.85
"Camden, OH",39.74,-84.6
"Camden, SC",34.27,-80.64
"Camden, TN",36.01,-87.97
"Camden, TX",30.88,-94.99
"Camden, WV",39.05,-80.52
"Camdenton, MO",38.0,-92.75
"Cameron Mills, NY",42.07,-77.23
"Cameron, AZ",36.11,-111.25
"Cameron, IL",40.94,-90.43
"Cameron, LA",29.77,-93.46
"Cameron, MO",39.74,-94.24
"Cameron, MT",45.19,-111.7
"Cameron, NC",35.27,-79.24
"Cameron, NY",42.07,-77.23
"Cameron, OH",39.86,-81.11
"Cameron, OK",35.19,-94.48
"Cameron, SC",33.51,-80.67
"Cameron, TX",30.85,-96.9
"Cameron, WI",45.42,-91.74
"Cameron, WV",39.94,-80.69
"Camilla, GA",31.09,-83.97
"Camillus, NY",43.03,-76.29
"Camino, CA",38.74,-120.66
"Camlachie, Ontario",43.07,-82.15
"Camlidere, Turkey",40.92,38.38
"Camp Creek, WV",37.6,-81.12
"Camp Douglas, WI",43.88,-90.17
"Camp Grove, IL",41.07,-89.77
"Camp H M Smith, HI",21.39,-157.93
"Camp Hill, AL",32.79,-85.83
"Camp Hill, PA",40.24,-76.92
"Camp Lake, WI",42.52,-88.13
"Camp Lejeune, NC",34.71,-77.44
"Camp Meeker, CA",38.44,-122.95
"Camp Murray, WA",47.15,-122.55
"Camp Nelson, CA",36.14,-118.63
"Camp Pendleton, CA",33.3,-117.35
"Camp Sherman, OR",44.44,-121.66
"Camp Verde, AZ",34.57,-111.86
"Camp Wood, TX",29.7,-100.04
"Camp, AR",36.37,-91.82
"Campagru, France",41.5,9.1
"Campaign, TN",35.78,-85.61
"Campamento, Peru",-9.15,-78.52
"Campana, Argentina",-34.16,-58.96
"Campbell Hall, NY",41.46,-74.26
"Campbell Hill, IL",38.08,-89.41
"Campbell, Alberta",53.62,-113.6
"Campbell, CA",37.28,-121.96
"Campbell, MO",36.42,-89.93
"Campbell, NE",40.32,-98.6
"Campbell, NY",42.15,-77.14
"Campbell, OH",41.05,-80.6
"Campbell, TX",33.14,-96.06
"Campbell, VA",38.03,-78.32
"Campbellsburg, IN",38.7,-86.29
"Campbellsburg, KY",38.53,-85.25
"Campbellsport, WI",43.57,-88.24
"Campbellsville, KY",37.34,-85.35
"Campbellton, FL",30.86,-85.52
"Campbellton, TX",28.62,-98.46
"Campbelltown, PA",40.27,-76.57
"Campeche, Mexico",19.84,-90.5
"Campen, Germany",53.36,7.17
"Campestre da Serra, Brazil",-28.85,-51.29
"Campiglia Marittima, Italy",43.09,10.54
"Campina Verde, Brazil",-10.29,-48.36
"Campo Alegre, Brazil",-19.47,-42.49
"Campo Florido, Cuba",22.98,-82.4
"Campo Grande, Argentina",-27.45,-58.77
"Campo Grande, Brazil",-16.72,-43.87
"Campo Seco, CA",38.17,-120.85
"Campo nell'Elba, Italy",42.79,10.32
"Campo, CA",32.62,-116.47
"Campo, CO",37.13,-102.47
"Campobello, SC",35.15,-82.19
"Campodolcino, Italy",46.4,9.36
"Campos, Brazil",-13.27,-43.42
"Campti, LA",31.78,-93.18
"Campton, KY",37.82,-83.78
"Campton, NH",43.89,-71.66
"Camptonville, CA",39.43,-121.0
"Camptown, PA",41.63,-76.27
"Camrose, Alberta",53.01,-112.82
"Camsell Portage, Saskatchewan",59.57,-108.48
"Cana, NC",35.97,-80.57
"Cana, VA",36.54,-80.63
"Canaan Valley, WV",39.1,-79.43
"Canaan, CT",42.03,-73.33
"Canaan, IN",38.97,-85.15
"Canaan, ME",44.81,-69.67
"Canaan, NH",43.65,-72.1
"Canaan, NY",42.38,-73.37
"Canada, KY",37.62,-82.25
"Canadensis, PA",41.21,-75.25
"Canadian Lakes, MI",43.56,-85.28
"Canadian, OK",35.17,-95.6
"Canadian, TX",35.9,-100.39
"Canadys, SC",32.99,-80.71
"Canajoharie, NY",42.9,-74.52
"Canal Fulton, OH",40.89,-81.6
"Canal Point, FL",26.69,-80.67
"Canal Winchester, OH",39.83,-82.82
"Canalou, MO",36.85,-89.58
"Canandaigua, NY",42.88,-77.3
"Canarama, Brazil",-8.71,-63.9
"Canas, Costa Rica",10.18,-85.11
"Canaseraga, NY",42.48,-77.86
"Canastota, NY",43.08,-75.81
"Canastrao, Brazil",-18.55,-45.36
"Canby, CA",41.48,-120.57
"Canby, MN",44.71,-96.27
"Canby, OR",45.27,-122.71
"Cancha Alegre, Chile",-36.58,-72.03
"Candarli, Turkey",40.71,30.12
"Candelaria, Mexico",18.14,-95.57
"Candia, NH",43.06,-71.28
"Candido Aguilar, Mexico",25.77,-97.53
"Candler, FL",29.06,-81.98
"Candler, NC",35.53,-82.65
"Candor, NC",35.4,-79.78
"Candor, NY",42.19,-76.25
"Cane River, Australia",-21.67,115.11
"Cane Valley, KY",37.34,-85.35
"Caneadea, NY",42.5,-78.0
"Canehill, AR",35.93,-94.42
"Caney, KS",36.87,-95.99
"Caney, OK",34.35,-96.25
"Caneyville, KY",37.4,-86.46
"Canfield, OH",41.03,-80.77
"Canisteo, NY",42.28,-77.77
"Canistota, SD",43.6,-97.29
"Canizares, Spain",40.43,-1.93
"Canjilon, NM",35.88,-106.27
"Canmer, KY",37.23,-85.77
"Canna, Australia",-29.2,116.02
"Cannel City, KY",37.59,-83.32
"Cannelburg, IN",38.7,-87.13
"Cannelton, IN",37.95,-86.76
"Cannelton, WV",38.19,-81.3
"Cannon Ball, ND",46.63,-100.73
"Cannon Beach, OR",45.89,-123.96
"Cannon Falls, MN",44.52,-93.03
"Cannon, KY",36.82,-83.96
"Cannonsburg, MI",43.09,-85.47
"Cannonville, UT",37.55,-112.05
"Canoa, Ecuador",-0.61,-80.4
"Canoas, Brazil",-21.38,-46.93
"Canoas, Mexico",18.65,-91.8
"Canoe River, Saskatchewan",55.83,-108.43
"Canoga Park, CA",34.2,-118.61
"Canoga, NY",42.83,-76.74
"Canon City, CO",38.48,-105.25
"Canon Ridge, Alberta",53.58,-113.38
"Canon, GA",34.29,-82.98
"Canones, NM",36.22,-106.37
"Canonsburg, PA",40.28,-80.18
"Canova, SD",43.81,-97.48
"Canovanas, PR",18.37,-65.93
"Cansado, Mauritania",20.93,-17.03
"Cantaritas, Mexico",21.0,-101.48
"Canterbury, CT",41.74,-72.02
"Canterbury, NH",43.35,-71.51
"Cantil, CA",35.37,-117.99
"Canton Center, CT",41.83,-72.94
"Canton, CT",41.83,-72.91
"Canton, GA",34.21,-84.51
"Canton, IL",40.49,-90.03
"Canton, KS",38.38,-97.61
"Canton, MA",42.17,-71.1
"Canton, ME",44.39,-70.31
"Canton, MI",42.33,-83.49
"Canton, MN",43.35,-91.86
"Canton, MO",40.05,-91.6
"Canton, MS",32.53,-90.12
"Canton, NC",35.53,-82.84
"Canton, NY",44.6,-75.18
"Canton, OH",40.8,-81.4
"Canton, OK",35.85,-98.41
"Canton, PA",41.65,-76.83
"Canton, SD",43.43,-96.71
"Canton, TX",32.6,-95.75
"Cantonment, FL",30.61,-87.32
"Cantrall, IL",39.93,-89.62
"Cantua Creek, CA",36.5,-120.24
"Cantwell, AK",63.37,-148.84
"Canute, OK",35.34,-99.2
"Canutillo, TX",31.91,-106.64
"Canvas, WV",38.3,-80.75
"Canyon City, OR",44.4,-118.97
"Canyon Country, CA",34.43,-118.47
"Canyon Creek, MT",46.69,-112.23
"Canyon Dam, CA",40.21,-121.15
"Canyon Lake, TX",29.88,-98.26
"Canyon, CA",37.82,-122.18
"Canyon, MN",47.03,-92.15
"Canyon, TX",34.97,-101.92
"Canyonville, OR",42.92,-123.29
"Caojia'ao, China",35.73,107.63
"Caojialu, China",40.07,116.59
"Caojiapu, China",36.62,101.77
"Caoping, China",43.12,131.9
"Caouennec-Lanvezeac, France",48.73,-3.38
"Cap-Sante, Quebec",46.68,-71.81
"Cap-de-la-Table, Quebec",50.18,-61.82
"Capac, MI",43.03,-82.93
"Capao da Caca, Brazil",-18.88,-48.23
"Capay, CA",38.6,-122.2
"Cape Borda, Australia",-35.75,136.6
"Cape Canaveral, FL",28.39,-80.6
"Cape Charles, VA",37.27,-76.02
"Cape Coral, FL",26.59,-81.97
"Cape Elizabeth, ME",43.57,-70.22
"Cape Fair, MO",36.73,-93.5
"Cape Fear, NC",35.47,-78.81
"Cape Girardeau, MO",37.33,-89.56
"Cape May Court House, NJ",39.07,-74.84
"Cape May Point, NJ",38.93,-74.96
"Cape May, NJ",38.94,-74.93
"Cape Moreton, Australia",-27.08,153.2
"Cape Neddick, ME",43.25,-70.65
"Cape Nelson Lighthouse, Australia",-38.36,141.59
"Cape Porpoise, ME",43.37,-70.46
"Cape Reinga, New Zealand",-34.43,172.68
"Cape Vincent, NY",44.14,-76.31
"Cape Wessel, Australia",-11.0,136.76
"Cape Willoughby, Australia",-35.61,138.09
"Capelinha do Embirizal, Brazil",-22.29,-45.37
"Capeville, VA",37.27,-76.02
"Capilla, Peru",-14.85,-74.96
"Capitan, NM",33.55,-105.58
"Capitol Heights, MD",39.0,-76.88
"Capitola, CA",36.98,-121.95
"Caplinger Mills, MO",37.71,-93.78
"Capon Bridge, WV",39.27,-78.39
"Capon Springs, WV",39.16,-78.39
"Capote, Brazil",-22.41,-45.45
"Caprock, NM",33.34,-103.59
"Capron, IL",42.4,-88.75
"Capron, VA",36.7,-76.96
"Capshaw, AL",34.76,-86.78
"Capstan Island, Canada",51.62,-56.7
"Captain Cook, HI",19.51,-155.95
"Captiva, FL",26.48,-82.18
"Capulin, CO",37.25,-105.97
"Capulin, NM",36.76,-103.83
"Caputa, SD",44.09,-102.83
"Caracara, Bolivia",-20.0,-63.53
"Caraiba, Brazil",-16.63,-49.22
"Caransebes, Romania",45.42,22.25
"Caraquiz, Spain",40.91,-3.39
"Caratunk, ME",45.08,-70.25
"Caraway, AR",35.73,-90.17
"Carbarup, Australia",-34.93,117.8
"Carbon Cliff, IL",41.5,-90.47
"Carbon Hill, AL",33.9,-87.44
"Carbon Hill, OH",39.41,-82.23
"Carbon, IA",41.17,-94.97
"Carbon, IN",39.54,-87.17
"Carbon, TX",32.38,-98.87
"Carbondale, CO",39.4,-107.22
"Carbondale, IL",37.73,-89.24
"Carbondale, KS",38.77,-95.78
"Carbondale, OH",39.41,-82.23
"Carbondale, PA",41.58,-75.51
"Carcaliu, Romania",45.25,27.95
"Carcass Island Settlement, Falkland Islands",-51.32,-59.6
"Carcassonne, France",43.21,2.35
"Carcross, Yukon Territory",60.24,-134.51
"Cardale, PA",39.92,-79.73
"Cardeal Mota, Brazil",-19.63,-43.97
"Cardell, Saskatchewan",49.65,-109.52
"Cardiff By The Sea, CA",33.03,-117.29
"Cardiff, MD",39.73,-76.34
"Cardinal, VA",37.47,-76.3
"Cardington, OH",40.55,-82.82
"Cardwell, MO",36.13,-90.17
"Cardwell, MT",45.9,-112.26
"Carefree, AZ",33.83,-111.93
"Carelmapu, Chile",-41.43,-73.1
"Carema, Italy",45.6,7.77
"Carencro, LA",30.33,-92.05
"Caret, VA",38.14,-77.13
"Carey Park, Australia",-33.36,115.64
"Carey, ID",43.47,-114.26
"Carey, OH",40.93,-83.13
"Careywood, ID",48.1,-116.61
"Cariamanga, Ecuador",-4.25,-79.26
"Caribou, ME",46.78,-67.99
"Carievale, Saskatchewan",48.86,-101.63
"Carine, Australia",-31.85,115.77
"Caripi, Brazil",3.83,-51.83
"Carl Junction, MO",37.17,-94.55
"Carland, United Kingdom",54.57,-6.77
"Carle Place, NY",40.75,-73.61
"Carleton, MI",42.05,-83.27
"Carleton, NE",40.31,-97.81
"Carleton-sur-Mer, Quebec",47.99,-66.33
"Carlin, NV",40.82,-115.79
"Carlinville, IL",39.28,-89.88
"Carlisle, AR",34.91,-91.76
"Carlisle, IA",41.48,-93.49
"Carlisle, IN",38.9,-87.43
"Carlisle, KY",38.39,-84.27
"Carlisle, MA",42.53,-71.35
"Carlisle, NY",42.68,-74.5
"Carlisle, PA",40.2,-77.2
"Carlisle, SC",34.74,-81.23
"Carlock, IL",40.53,-89.17
"Carlos, MN",45.86,-95.35
"Carlotta, CA",40.55,-124.13
"Carlsbad, CA",33.16,-117.33
"Carlsbad, NM",32.4,-104.25
"Carlsbad, TX",31.59,-100.55
"Carlsborg, WA",48.08,-123.16
"Carlsgrun, Germany",50.33,11.7
"Carlstadt, NJ",40.84,-74.09
"Carlton Hill, Australia",-15.77,128.7
"Carlton, AL",31.49,-87.9
"Carlton, GA",34.11,-82.88
"Carlton, MN",46.64,-92.39
"Carlton, OR",45.25,-123.12
"Carlton, PA",41.52,-80.05
"Carlton, TX",31.93,-98.1
"Carlton, WA",48.33,-120.06
"Carlyle, IL",38.61,-89.37
"Carmacks, Yukon Territory",62.12,-136.19
"Carman, IL",40.76,-91.14
"Carman, Manitoba",49.5,-98.03
"Carmel Valley, CA",36.47,-121.73
"Carmel, CA",36.56,-121.91
"Carmel, IN",39.97,-86.17
"Carmel, ME",44.77,-68.99
"Carmel, NY",41.42,-73.7
"Carmel-by-the-Sea, CA",36.56,-121.91
"Carmen de Patagones, Argentina",-40.85,-63.02
"Carmen, ID",45.29,-113.89
"Carmen, OK",36.41,-98.44
"Carmi, IL",38.09,-88.12
"Carmichael, CA",38.65,-121.33
"Carmichaels, PA",39.94,-80.05
"Carmine, TX",30.17,-96.69
"Carnagh, Saskatchewan",49.93,-108.83
"Carnarvon, South Africa",-30.97,21.98
"Carnation, WA",47.64,-121.91
"Carnduff, Saskatchewan",48.86,-101.63
"Carnegie, OK",35.14,-98.6
"Carnegie, PA",40.41,-80.06
"Carnelian Bay, CA",39.23,-120.07
"Carnesville, GA",34.42,-83.17
"Carney, MI",45.7,-87.51
"Carney, OK",35.72,-96.82
"Caro, MI",43.5,-83.41
"Caroga Lake, NY",43.17,-74.51
"Carol City, FL",25.98,-80.27
"Carol Stream, IL",41.92,-88.13
"Caroleen, NC",35.29,-81.78
"Carolina Beach, NC",34.05,-77.89
"Carolina Shores, NC",33.92,-78.57
"Carolina, PR",18.45,-66.04
"Carolina, RI",41.49,-71.63
"Carolina, WV",39.44,-80.17
"Caroline, Alberta",52.19,-114.78
"Caroline, Australia",-37.88,140.83
"Caroling, Australia",-32.33,117.87
"Carp Lake, MI",45.67,-84.79
"Carpenter, IA",43.38,-92.92
"Carpenter, WY",41.13,-104.51
"Carpentersville, IL",42.11,-88.28
"Carpinteria, CA",34.41,-119.52
"Carpio, ND",48.42,-101.36
"Carr, CO",40.8,-104.86
"Carrascalejo, Spain",38.62,-1.12
"Carrboro, NC",35.92,-79.08
"Carricito, Mexico",25.68,-109.08
"Carrick-on-Shannon, Ireland",53.93,-8.03
"Carrickmacross, Ireland",54.01,-6.78
"Carrier Mills, IL",37.74,-88.54
"Carrier, OK",36.48,-97.95
"Carriere, MS",30.58,-89.65
"Carrington, ND",47.56,-99.12
"Carrizo Springs, TX",28.76,-100.0
"Carrizo, Mexico",30.6,-114.69
"Carrizozo, NM",33.65,-105.88
"Carroll, IA",42.07,-94.87
"Carroll, OH",39.79,-82.7
"Carrolls, WA",46.07,-122.84
"Carrollton, AL",33.07,-88.24
"Carrollton, GA",33.52,-84.99
"Carrollton, IL",39.32,-90.42
"Carrollton, KY",38.67,-85.14
"Carrollton, MI",43.43,-83.94
"Carrollton, MO",39.21,-93.52
"Carrollton, MS",33.49,-90.08
"Carrollton, OH",40.59,-80.94
"Carrollton, TX",32.97,-96.88
"Carrollton, VA",36.94,-76.53
"Carrolltown, PA",40.54,-78.79
"Carrolltowne, MD",39.39,-76.94
"Carrollwood, MD",39.3,-76.42
"Carrowkeel, Ireland",55.04,-7.16
"Carrsville, VA",36.7,-76.9
"Carseland, Alberta",50.88,-113.54
"Carsoli, Italy",42.03,13.08
"Carson City, MI",43.26,-84.94
"Carson City, NV",39.14,-119.74
"Carson, CA",33.82,-118.27
"Carson, IA",41.31,-95.43
"Carson, MS",31.64,-89.55
"Carson, ND",46.4,-101.84
"Carson, NM",36.4,-105.75
"Carson, VA",37.03,-77.39
"Carson, WA",45.72,-121.81
"Carsonville, MI",43.46,-82.62
"Carswell, WV",37.6,-81.56
"Cartacup, Australia",-33.58,120.05
"Cartago, Costa Rica",9.929999999989999,-83.98
"Carter Lake, IA",41.29,-95.92
"Carter, KY",38.5,-83.02
"Carter, MT",47.73,-110.72
"Carter, OK",35.25,-99.79
"Carteret, NJ",40.58,-74.24
"Cartersville, GA",34.16,-84.8
"Cartersville, VA",37.61,-78.04
"Carterville, IL",37.75,-89.06
"Carterville, MO",37.16,-94.48
"Carthage, AR",34.06,-92.28
"Carthage, IL",40.4,-91.08
"Carthage, IN",39.79,-85.54
"Carthage, ME",44.55,-70.56
"Carthage, MO",37.17,-94.31
"Carthage, MS",33.06,-89.59
"Carthage, NC",35.35,-79.4
"Carthage, NY",43.99,-75.65
"Carthage, SD",44.38,-98.23
"Carthage, TN",36.16,-86.02
"Carthage, TX",32.35,-94.3
"Carthagena, Jamaica",18.5,-77.92
"Cartwright, ND",47.92,-103.94
"Cartwright, OK",33.93,-96.61
"Caruthers, CA",36.46,-119.77
"Caruthersville, MO",36.2223076923,-89.47230769229999
"Carvalho de Brito, Brazil",-19.85,-43.95
"Carver, MA",41.89,-70.77
"Carver, MN",44.75,-93.65
"Carversville, PA",40.39,-75.04
"Carville, LA",30.23,-91.05
"Carway, Alberta",48.87,-113.31
"Cary, IL",42.2,-88.24
"Cary, MS",32.35,-91.03
"Cary, NC",35.75,-78.78
"Caryville, FL",30.79,-85.69
"Caryville, TN",36.21,-84.15
"Casa Blanca, NM",35.05,-107.37
"Casa Grande, AZ",32.89,-111.73
"Casa de Piedra, Chile",-38.37,-73.9
"Casa, AR",35.15,-92.94
"Casala, Samoa",-13.82,-172.0
"Casanova, VA",38.66,-77.72
"Casar, NC",35.5,-81.8
"Casares, Nicaragua",12.15,-86.17
"Casbah, Algeria",36.77,3.03
"Cascade Locks, OR",45.71,-121.88
"Cascade, CO",38.9,-104.97
"Cascade, IA",42.22,-91.17
"Cascade, ID",44.68,-116.12
"Cascade, MD",39.72,-77.47
"Cascade, MO",37.58,-90.29
"Cascade, MT",47.27,-111.7
"Cascade, VA",36.52,-79.7
"Cascade, WI",43.57,-88.18
"Cascadia, OR",44.15,-122.34
"Casco, ME",44.04,-70.51
"Casco, MI",42.77,-82.68
"Casco, WI",44.45,-87.63
"Casemero Palma, Belize",15.72,-88.6
"Caseville, MI",43.91,-83.38
"Casey, IA",41.5,-94.33
"Casey, IL",39.29,-88.18
"Caseyville, IL",38.64,-90.01
"Cash, AR",35.81,-90.93
"Cashiers, NC",35.11,-83.1
"Cashion, AZ",33.43,-112.31
"Cashion, OK",35.71,-97.71
"Cashmere, WA",47.48,-120.47
"Cashs Corner, VA",37.03,-77.08
"Cashton, WI",43.58,-90.77
"Cashtown, PA",39.88,-77.35
"Casmalia, CA",34.88,-120.46
"Casnovia, MI",43.16,-85.76
"Cason, TX",33.03,-94.74
"Caspar, CA",39.37,-123.82
"Casper, WY",42.84,-106.32
"Caspian, MI",46.1,-88.54
"Caspoggio, Italy",46.17,9.9
"Cass City, MI",43.42,-83.19
"Cass Lake, MN",47.39,-94.65
"Cass, WV",38.41,-79.86
"Cassadaga, FL",28.99,-81.24
"Cassadaga, NY",42.35,-79.32
"Cassandra, PA",40.32,-78.7
"Cassatt, SC",34.38,-80.35
"Casscoe, AR",34.6,-91.57
"Cassel, CA",40.91,-121.63
"Casselberry, FL",28.67,-81.32
"Casselton, ND",46.94,-97.11
"Cassoday, KS",37.83,-96.89
"Cassopolis, MI",41.91,-86.0
"Casstown, OH",40.01,-84.12
"Cassville, GA",34.22,-84.82
"Cassville, MO",36.71,-93.88
"Cassville, NY",42.92,-75.23
"Cassville, PA",40.39,-77.94
"Cassville, WV",39.61,-80.05
"Castaic, CA",34.5,-118.6
"Castalia, IA",43.1,-91.66
"Castalia, NC",36.06,-78.09
"Castalia, OH",41.38,-82.82
"Castalian Springs, TN",36.43,-86.33
"Castanea, PA",41.14,-77.42
"Castell, TX",30.59,-99.11
"Castella, CA",41.28,-122.31
"Castellar de N'Hug, Spain",42.32,2.08
"Castelo de Vide, Portugal",39.41,-7.46
"Castet, France",43.38,-0.42
"Castiadas, Italy",39.16,9.39
"Castile, NY",42.64,-78.01
"Castilleja de Guzman, Spain",37.39,-6.08
"Castine, ME",44.39,-68.8
"Castle Creek, NY",42.21,-75.82
"Castle Dale, UT",39.22,-111.02
"Castle Hayne, NC",34.34,-77.89
"Castle Junction, Alberta",51.43,-116.17
"Castle Point, NY",41.49,-73.97
"Castle Rock, CO",39.33,-104.83
"Castle Rock, India",15.37,73.82
"Castle Rock, MN",44.48,-93.17
"Castle Rock, WA",46.3,-122.92
"Castle, OK",35.51,-96.59
"Castlebar, Ireland",53.78,-9.56
"Castleberry, AL",31.34,-87.03
"Castleconnell, Ireland",52.69,-8.39
"Castleford, ID",42.53,-114.87
"Castlegar, British Columbia",49.3,-117.63
"Castlemartyr, Ireland",51.93,-8.09
"Castlepoint, New Zealand",-40.9,176.21
"Castleton On Hudson, NY",42.57,-73.64
"Castleton, IL",41.24,-89.66
"Castleton, VA",38.6,-78.15
"Castleton, VT",43.66,-73.19
"Castletown, Australia",-33.68,121.82
"Castlewood, SD",44.87,-97.16
"Castlewood, VA",36.92,-82.35
"Castor, Alberta",52.32,-111.78
"Castor, LA",32.36,-92.98
"Castorland, NY",43.89,-75.42
"Castries, St. Lucia",14.03,-60.95
"Castro Valley, CA",37.69,-122.08
"Castro Verde, Portugal",37.76,-8.31
"Castro, Chile",-42.38,-73.65
"Castroville, CA",36.79,-121.79
"Castroville, TX",29.36,-98.88
"Casupa, Uruguay",-34.38,-55.68
"Cat Spring, TX",29.89,-96.38
"Catacamas, Honduras",14.87,-85.77
"Cataldo, ID",47.54,-116.13
"Catalina, AZ",32.48,-110.9
"Catamarca, Argentina",-28.47,-65.8
"Catano, PR",18.44,-66.17
"Cataract, WI",44.1,-90.79
"Catarama, Ecuador",-2.15,-79.88
"Catarina, TX",28.58,-99.5
"Catasauqua, PA",40.65,-75.49
"Cataula, GA",32.66,-84.87
"Cataumet, MA",41.69,-70.63
"Catawba, NC",35.67,-81.08
"Catawba, OH",39.96,-83.66
"Catawba, SC",34.87,-80.93
"Catawba, VA",37.37,-80.19
"Catawissa, MO",38.43,-90.78
"Catawissa, PA",41.0,-76.47
"Cateechee, SC",34.76,-82.71
"Catharine, KS",38.94,-99.23
"Catharpin, VA",38.84,-77.6
"Cathay, ND",47.56,-99.12
"Cathedral City, CA",33.79,-116.48
"Catherine, AL",32.27,-87.71
"Catheys Valley, CA",37.42,-119.97
"Cathlamet, WA",46.2,-123.38
"Catiara, Brazil",-19.11,-46.69
"Catlett, VA",38.66,-77.72
"Catlettsburg, KY",38.42,-82.59
"Catlin, IL",40.08,-87.63
"Cato, NY",43.17,-76.52
"Catonsville, MD",39.27,-76.73
"Catoosa, OK",36.18,-95.75
"Catron, MO",36.79,-89.97
"Catskill, NY",42.25,-73.85
"Cattaraugus, NY",42.36,-79.05
"Caulfield, MO",36.77,-92.27
"Cauthornville, VA",37.8,-77.06
"Cava d'Aliga, Italy",36.78,14.69
"Cavalheiro, Brazil",-17.47,-47.83
"Cavalier, ND",48.78,-97.63
"Cavaliere, France",43.16,6.48
"Cavan, Ireland",54.0,-7.37
"Cavdar Yaylasi, Turkey",37.5,34.05
"Cave City, AR",35.84,-91.53
"Cave City, KY",37.03,-85.95
"Cave Creek, AZ",33.83,-111.93
"Cave In Rock, IL",37.34,-88.11
"Cave Junction, OR",42.16,-123.65
"Cave Spring, GA",34.0,-85.34
"Cave Spring, VA",37.24,-80.02
"Cave Springs, AR",36.26,-94.18
"Cave de la Pinede, France",43.56,4.11
"Cavendish, VT",43.42,-72.67
"Cavetown, MD",39.64,-77.6
"Cavour, SD",44.38,-98.23
"Cawala, Malawi",-13.56,32.58
"Cawker City, KS",39.51,-98.44
"Cayambe, Ecuador",0.03,-78.23
"Cayce, SC",34.02,-81.07
"Cayenne, French Guiana",4.83,-52.37
"Cayey, PR",18.12,-66.16
"Cayley, Alberta",50.53,-113.85
"Cayman Brac, Cayman Islands",19.71,-79.8
"Cayo Coco, Cuba",22.47,-78.33
"Cayucos, CA",35.47,-120.92
"Cayuga, IN",40.08,-87.63
"Cayuga, NY",42.92,-76.8
"Cayuga, TX",31.95,-96.15
"Cayuta, NY",42.29,-76.72
"Cazadero, CA",38.52,-123.08
"Cazaux, France",44.47,-1.09
"Cazejourdes, France",44.18,3.43
"Cazenovia, NY",42.93,-75.86
"Cazenovia, WI",43.54,-90.02
"Cazis, Switzerland",46.7,9.44
"Cebolla, NM",35.88,-106.27
"Cebollar, Argentina",-29.38,-66.82
"Ceci, Italy",44.57,9.12
"Cecil, AR",35.5,-93.94
"Cecil, GA",31.11,-83.41
"Cecil, OH",41.14,-84.5
"Cecil, PA",40.28,-80.18
"Cecil, WI",44.79,-88.56
"Cecilia, KY",37.71,-85.88
"Cecilia, LA",30.27,-91.89
"Cecilton, MD",39.37,-75.83
"Cecuozi, Taiwan",25.04,121.27
"Cedar Bluff, AL",34.14,-85.59
"Cedar Bluffs, NE",41.45,-96.58
"Cedar Brook, NJ",39.71,-74.88
"Cedar City, UT",37.79,-113.09
"Cedar Creek, NE",41.04,-96.1
"Cedar Creek, TX",30.1,-97.48
"Cedar Crest, NM",35.12,-106.38
"Cedar Falls, IA",42.52,-92.46
"Cedar Falls, NC",35.76,-79.79
"Cedar Glen, CA",34.25,-117.17
"Cedar Grove, IN",39.35,-85.0
"Cedar Grove, NC",36.19,-79.17
"Cedar Grove, NJ",40.84,-74.22
"Cedar Grove, TN",35.73,-88.67
"Cedar Grove, WI",43.58,-87.84
"Cedar Grove, WV",38.18,-81.31
"Cedar Hill, MO",38.33,-90.6
"Cedar Hill, TN",36.56,-86.99
"Cedar Hill, TX",32.61,-96.94
"Cedar Island, NC",34.98,-76.61
"Cedar Key, FL",29.14,-83.04
"Cedar Knolls, NJ",40.82,-74.46
"Cedar Lake, IN",41.35,-87.43
"Cedar Lake, MI",43.42,-84.98
"Cedar Lane, TX",29.0,-95.76
"Cedar Mountain, NC",35.14,-82.65
"Cedar Park, TX",30.5,-97.84
"Cedar Point, IL",41.34,-89.11
"Cedar Point, KS",38.32,-96.99
"Cedar Rapids, IA",41.98,-91.66
"Cedar Rapids, NE",41.56,-98.15
"Cedar Ridge, CA",39.19,-121.0
"Cedar Run, PA",41.55,-77.29
"Cedar Springs, GA",31.29,-84.9
"Cedar Springs, MI",43.19,-85.51
